zone_name,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
Ground Floor - Zone 1,Glazing,Outside,21.001,SageGlass Climatop Blue No Tint,0.687,14.4277,0.0,0.0,0.061,0.293,180.0,90.0,False,1068.111,**,1068.111,**,0.0
Ground Floor - Zone 1,Glazing,Outside,41.949,SageGlass Climatop Blue No Tint,0.687,28.819,0.0,0.0,0.061,0.293,90.0,90.0,False,2133.526,**,2133.526,**,0.0
Ground Floor - Zone 1,Glazing,Outside,0.885,SageGlass Climatop Blue No Tint,0.687,0.608,0.0,0.0,0.061,0.293,270.0,90.0,False,45.011,**,45.011,**,0.0
Ground Floor - Zone 1,Glazing,Outside,2.655,SageGlass Climatop Blue No Tint,0.687,1.824,0.0,0.0,0.061,0.293,0.0,90.0,False,135.033,**,135.033,**,0.0
Ground Floor - Zone 3,Infiltration,Outside,,,,331.288,,,,,,,False,0.0,,,,
Ground Floor - Zone 3,Ceiling,First floor - Zone 92,41.121,Project internal floor_Reversed,2.929,120.4381,88.2,3626.872,0.17,0.1,180.0,0.0,True,345.416,,345.416,,17523.0
Ground Floor - Zone 3,Ceiling,First floor - Zone 11,0.514,Project internal floor_Reversed,2.929,1.5054,88.2,45.3348,0.17,0.1,180.0,0.0,True,4.318,,4.318,,219.0
Ground Floor - Zone 3,Ceiling,First floor - Zone 9,0.406,Project internal floor_Reversed,2.929,1.1891,88.2,35.8092,0.17,0.1,180.0,0.0,True,3.41,,3.41,,173.0
Ground Floor - Zone 3,Ceiling,First floor - Zone 8,83.123,Project internal floor_Reversed,2.929,243.4565,88.2,7331.449,0.17,0.1,180.0,0.0,True,698.233,,698.233,,35422.0
Ground Floor - Zone 3,Ceiling,First floor - Zone 1,3.852,Project internal floor_Reversed,2.929,11.282,88.2,339.7464,0.17,0.1,180.0,0.0,True,32.357,,32.357,,1641.0
Ground Floor - Zone 3,Ceiling,First floor - Zone 7,106.759,Project internal floor_Reversed,2.929,312.6833,88.2,9416.145,0.17,0.1,180.0,0.0,True,896.776,,896.776,,45494.0
Ground Floor - Zone 3,Wall,Outside,92.568,Best wall,1.774,164.2238,143.164,13252.41,0.04,0.13,90.0,90.0,True,12291.18,,12563.33,,35064.0
