Keyword,Name,Layers,UValue (W/m2K),Trans Light (VT),Trans Total (SHGC),Trans Direct Solar,Cost per surface area (EGP/m2),,,,,,,,,,,
GLAZING ,Project internal glazing,3,2.178,0.738,0.682,0.595,1609.85,,,,,,,,,,,
GLAZING ,SageGlass Climatop Blue No Tint,3,0.687,0.357,0.248,0.192,946.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Building Data,,,,,,,,,,,,,,,,,,
Building number of zones:,312,,,,,,,,,,,,,,,,,
Building heated/cooled floor area (m2),17948.18,,,,,,,,,,,,,,,,,
Building volume (m3),97074.29,,,,,,,,,,,,,,,,,
Building external area (m2),30155.8,,,,,,,,,,,,,,,,,
Building area-weighted average U-value (W/m2K),1.137,,,,,,,,,,,,,,,,,
Building external surface area/Volume (m-1),0.311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity Area Summary,,,,,,,,,,,,,,,,,,
Activity,Area (m2),,,,,,,,,,,,,,,,,
Generic Office Area,17948.18,,,,,,,,,,,,,,,,,
Total,17948.18,,,,,,,,,,,,,,,,,
,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
,Infiltration,Outside,N/A,N/A,N/A,24.79,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,0,,,,
,Ceiling,First floor - Zone 92,9.282,Project internal floor_Reversed,2.929,27.1858,88.2,818.6724,0.17,0.1,180,0,TRUE,77.969,,77.969,,"3,955"
,Ceiling,First floor - Zone 9,8.991,Project internal floor_Reversed,2.929,26.3335,88.2,793.0063,0.17,0.1,180,0,TRUE,75.524,,75.524,,"3,831"
,Partition,Ground Floor - Zone 6,24.949,Project partition,1.639,40.9,22.5,561.3525,0.13,0.13,180,90,TRUE,67.362,,72.976,,"9,450"
,Partition,Ground Floor - Zone 5,13.29,Project partition,1.639,21.7869,22.5,299.025,0.13,0.13,90,90,TRUE,35.883,,38.873,,"5,034"
,Partition,Ground Floor - Zone 7,16.056,Project partition,1.639,26.3213,22.5,361.26,0.13,0.13,180,90,TRUE,43.351,,46.964,,"6,082"
,Partition,Ground Floor - Zone 91,15.65,Project partition,1.639,25.6557,22.5,352.125,0.13,0.13,270,90,TRUE,42.255,,45.776,,"5,928"
,Partition,Ground Floor - Zone 3,38.645,Project partition,1.639,63.3525,22.5,869.5126,0.13,0.13,0,90,TRUE,0,,0,,"14,638"
,Wall,Outside,1.785,Best wall,1.774,3.1667,143.164,255.5477,0.04,0.13,90,90,TRUE,237.012,,242.26,,676
,Wall,Outside,1.785,Best wall,1.774,3.1667,143.164,255.5477,0.04,0.13,0,90,TRUE,237.012,,242.26,,676
,Ground floor,Ground,18.275,Project ground floor,0.25,4.5676,93.96,1717.119,0.01,0.17,0,180,TRUE,745.109,,752.068,,"7,788"
,Glazing,Outside,0.575,SageGlass Climatop Blue No Tint,0.687,0.395,0,0,0.061,0.293,90,90,FALSE,29.245,**,29.245,**,0
